;ei_ole;1_laps;2_last;3_last;4_last;ei_tea;;
Haabersti linnaosa;544;2835;3823;581;55;187;;
Kesklinna linnaosa;725;2784;3391;629;117;168;;
Kristiine linnaosa;428;1895;2550;485;60;62;;
Lasnam2e linnaosa;1382;8363;11126;1697;288;537;;
Mustam2e linnaosa;1018;4935;6083;928;137;240;;
N6mme linnaosa;522;2104;3608;861;133;86;;
Pirita linnaosa;94;561;953;267;34;45;;
P6hja-Tallinna linnaosa;738;3866;4416;778;133;246;;
Kehra linn;24;151;318;93;18;4;;
Keila linn;94;479;932;259;42;20;;
Loksa linn;40;227;392;119;20;11;;
Maardu linn;177;1132;1708;317;60;62;;
Paldiski linn;39;280;361;74;12;10;;
Saue linn;48;262;511;156;25;13;;
Aegviidu vald;14;37;95;32;2;2;;
Anija vald;25;73;248;134;42;1;;
Harku vald;73;306;595;202;59;5;;
J6el2htme vald;44;197;460;185;41;15;;
Keila vald;43;150;319;123;25;6;;
Kernu vald;15;50;112;59;20;0;;
Kiili vald;25;76;215;103;21;1;;
Kose vald;37;146;470;216;56;2;;
Kuusalu vald;32;131;351;164;54;7;;
K6ue vald;11;48;102;69;27;1;;
Loksa vald;15;37;156;80;24;0;;
Nissi vald;19;90;229;118;24;4;;
Padise vald;14;37;122;63;18;0;;
Raasiku vald;35;168;353;181;46;12;;
Rae vald;72;354;693;256;62;15;;
Saku vald;66;309;701;250;48;9;;
Saue vald;68;339;655;243;44;14;;
Vasalemma vald;30;146;254;69;10;5;;
Viimsi vald;95;433;838;247;35;16;;
K2rdla linn;35;117;358;167;36;1;;
Emmaste vald;10;27;90;68;22;2;;
K6rgessaare vald;9;26;101;68;24;0;;
K2ina vald;15;51;178;100;29;1;;
Pyhalepa vald;13;41;124;74;20;0;;
Hiiu maakonna alevikud;3;30;124;71;14;0;;
Hiiu maakonna kylad;44;115;369;239;81;3;;
J6hvi linn;176;879;1294;228;35;33;;
Kivi6li linn;70;429;728;186;24;28;;
Kohtla-J2rve linn;434;3166;5088;849;125;206;;
Narva linn;757;5467;7410;1012;173;272;;
Narva-J6esuu linn;37;199;274;61;12;21;;
Pyssi linn;13;93;218;47;4;5;;
Sillam2e linn;148;1226;2105;291;40;58;;
Alaj6e vald;0;19;51;7;8;5;;
Aseri vald;24;97;240;73;16;7;;
Avinurme vald;15;50;147;70;24;1;;
Iisaku vald;16;45;125;73;21;1;;
Illuka vald;8;33;77;36;6;1;;
J6hvi vald;11;80;169;67;16;0;;
Kohtla vald;20;67;148;58;14;1;;
Kohtla-N6mme vald;15;40;120;44;8;4;;
Lohusuu vald;6;33;82;37;9;9;;
Lyganuse vald;9;42;126;40;10;7;;
Maidla vald;6;13;74;32;16;0;;
M2etaguse vald;10;49;121;60;21;2;;
Sonda vald;12;35;115;50;5;3;;
Toila vald;21;85;234;84;18;4;;
Tudulinna vald;3;23;31;38;10;0;;
Vaivara vald;8;75;158;47;18;9;;
J6geva linn;52;259;593;195;33;6;;
Mustvee linn;16;84;217;51;6;3;;
P6ltsamaa linn;41;202;463;188;29;5;;
J6geva vald;22;133;436;231;79;4;;
Kasep22 vald;10;62;146;56;13;2;;
Pajusi vald;6;42;88;81;22;1;;
Pala vald;2;42;101;73;22;4;;
Palamuse vald;17;51;176;129;43;0;;
Puurmani vald;8;34;140;68;29;2;;
P6ltsamaa vald;27;78;289;181;59;6;;
Saare vald;7;31;89;73;27;1;;
Tabivere vald;11;57;181;128;22;3;;
