;ei_ole;1_laps;2_last;3_last;4_last;ei_tea;;
Haabersti linnaosa;2415;13259;10115;1738;298;517;;
Kesklinna linnaosa;182;1163;878;125;19;66;;
Kristiine linnaosa;337;1454;1136;181;31;58;;
Lasnam2e linnaosa;198;956;716;145;30;15;;
Mustam2e linnaosa;628;3996;2953;478;102;179;;
N6mme linnaosa;458;2489;1782;278;42;77;;
Pirita linnaosa;165;800;821;181;21;15;;
P6hja-Tallinna linnaosa;38;174;174;49;8;11;;
Kehra linn;408;2219;1650;301;45;93;;
Keila linn;11;66;68;23;4;0;;
Loksa linn;28;203;218;54;9;5;;
Maardu linn;3;59;61;24;6;3;;
Paldiski linn;57;525;473;87;15;14;;
Saue linn;20;164;167;35;7;0;;
Aegviidu vald;10;99;91;23;6;5;;
Anija vald;3;18;18;8;1;1;;
Harku vald;3;18;18;8;1;1;;
J6el2htme vald;4;29;55;19;14;1;;
Keila vald;18;148;143;56;14;0;;
Kernu vald;14;75;104;40;11;4;;
Kiili vald;11;87;99;44;12;1;;
Kose vald;5;23;29;14;6;0;;
Kuusalu vald;3;25;36;10;2;0;;
K6ue vald;13;74;107;50;20;3;;
Loksa vald;14;41;89;32;14;2;;
Nissi vald;8;16;29;12;7;0;;
Padise vald;2;15;36;9;4;0;;
Raasiku vald;12;50;74;44;21;2;;
Rae vald;5;16;33;20;6;2;;
Saku vald;5;48;73;42;13;2;;
Saue vald;22;106;152;47;17;3;;
Vasalemma vald;19;109;134;48;8;1;;
Viimsi vald;16;122;133;40;14;3;;
K2rdla linn;10;67;67;42;4;0;;
Emmaste vald;25;115;140;46;11;3;;
K6rgessaare vald;4;39;63;26;8;0;;
K2ina vald;2;5;6;14;3;0;;
Pyhalepa vald;4;10;14;14;4;0;;
Hiiu maakonna alevikud;1;14;39;13;1;0;;
Hiiu maakonna kylad;1;8;20;24;6;0;;
J6hvi linn;1;12;29;14;2;0;;
Kivi6li linn;7;25;50;51;12;0;;
Kohtla-J2rve linn;37;408;300;66;12;6;;
Narva linn;29;237;240;64;13;7;;
Narva-J6esuu linn;158;1565;1437;230;50;66;;
Pyssi linn;269;2501;1799;261;51;62;;
Sillam2e linn;18;81;84;16;3;3;;
Alaj6e vald;9;42;47;15;4;0;;
Aseri vald;57;611;523;77;11;12;;
Avinurme vald;0;10;5;3;2;1;;
Iisaku vald;3;51;70;24;4;1;;
Illuka vald;3;11;25;13;4;0;;
J6hvi vald;3;13;22;14;4;0;;
Kohtla vald;6;16;15;5;4;0;;
Kohtla-N6mme vald;3;37;43;8;3;0;;
Lohusuu vald;2;16;22;13;2;0;;
Lyganuse vald;2;20;22;8;3;0;;
Maidla vald;2;20;22;8;3;0;;
M2etaguse vald;0;8;14;6;1;0;;
Sonda vald;3;22;14;9;5;6;;
Toila vald;2;3;9;4;0;0;;
Tudulinna vald;3;14;21;7;6;1;;
Vaivara vald;1;17;21;13;2;0;;
J6geva linn;3;32;60;17;6;0;;
Mustvee linn;6;3;7;8;1;0;;
P6ltsamaa linn;3;17;38;16;2;0;;
J6geva vald;26;123;213;72;7;0;;
Kasep22 vald;4;16;18;4;2;0;;
Pajusi vald;12;72;106;35;10;0;;
Pala vald;15;33;87;48;19;0;;
Palamuse vald;2;13;15;1;1;0;;
Puurmani vald;5;9;11;9;6;1;;
P6ltsamaa vald;1;7;13;8;4;0;;
Saare vald;5;16;42;19;10;1;;
Tabivere vald;2;12;31;21;6;1;;
Torma vald;12;32;72;42;11;2;;
Paide linn;2;7;17;9;2;0;;
Tyri linn;9;30;40;16;9;0;;
Albu vald;8;15;37;16;14;0;;
Ambla vald;20;202;243;75;13;2;;
Imavere vald;18;102;146;65;14;7;;
J2rva-Jaani vald;3;9;16;16;6;0;;
Kabala vald;5;33;39;26;10;0;;
Kareda vald;1;5;16;7;2;0;;
Koeru vald;4;19;35;13;5;1;;
Koigi vald;2;5;14;6;2;0;;
Lehtse vald;2;6;13;7;3;0;;
Oisu vald;9;24;40;22;14;0;;
Paide vald;1;7;13;13;3;0;;
Roosna-Alliku vald;2;12;22;19;1;1;;
Tyri vald;4;5;27;13;4;1;;
V22tsa vald;4;10;29;11;5;2;;
Haapsalu linn;5;10;23;14;4;0;;
Hanila vald;3;25;38;31;10;1;;
Kullamaa vald;2;11;13;16;2;0;;
Lihula vald;39;283;379;103;22;1;;
Lihula vs linn;5;14;33;14;6;1;;
Martna vald;6;14;22;14;5;0;;
Noarootsi vald;8;17;31;27;8;1;;
N6va vald;5;12;17;14;3;0;;
Oru vald;3;7;10;10;9;1;;
